genre,director,budget,gross,runtime,rating
Fantasy,Jack Clayton,19000000.0,8400000.0,95.0,PG
Biography,Bob Fosse,12000000.0,6472990.0,103.0,R
Crime,Michael Apted,15000000.0,15856028.0,128.0,R
Action,Steve Carver,5000000.0,12232628.0,107.0,PG
Comedy,Curtis Hanson,7000000.0,1246141.0,100.0,R
Comedy,Rafal Zielinski,800000.0,2082215.0,80.0,R
Sci-Fi,Douglas Trumbull,15000000.0,10219460.0,106.0,PG
Action,Robert Vincent O'Neil,3000000.0,17488564.0,94.0,R
Crime,J. Lee Thompson,4520000.0,7175592.0,101.0,R
Action,Ted Kotcheff,14500000.0,30503151.0,105.0,R
Horror,Howard Avedis,250000.0,4319001.0,93.0,R
Adventure,Andrew V. McLaglen,25000000.0,1402962.0,111.0,PG
Comedy,John Herzfeld,14000000.0,23646952.0,88.0,PG
Action,Paul Nicholas,1250000.0,6149983.0,95.0,R
Action,Lamont Johnson,14400000.0,16478265.0,90.0,PG
Adventure,Brian G. Hutton,19000000.0,28445927.0,105.0,PG
Animation,Clive Smith,8000000.0,30379.0,77.0,PG
Adventure,Luigi Cozzi,2500000.0,10676194.0,98.0,PG
Drama,Roger Spottiswoode,9500000.0,5696391.0,128.0,R
Horror,Richard Fleischer,6000000.0,6333135.0,105.0,PG
Action,Sam Peckinpah,6500000.0,6486797.0,103.0,R
Action,Sam Firstenberg,700000.0,13168027.0,90.0,R
Comedy,Alan Johnson,9000000.0,13030214.0,107.0,PG
Adventure,Michael Winner,8000000.0,724912.0,98.0,R
Horror,George P. Cosmatos,4000000.0,1080470.0,88.0,R
Comedy,Blake Edwards,11000000.0,4491986.0,109.0,PG
Action,Joel Schumacher,8000000.0,16134627.0,100.0,R
Drama,John Mackenzie,11800000.0,5997566.0,104.0,R
Comedy,Michael Ritchie,12000000.0,14000000.0,103.0,R
Drama,Peter Sasdy,5000000.0,1223200.0,92.0,R
Comedy,Blake Edwards,19000000.0,10964740.0,110.0,R
Horror,Joseph Sargent,6000000.0,6670680.0,99.0,R
Comedy,William Friedkin,10000000.0,10369581.0,99.0,PG
Action,Jeff Kanew,5000000.0,1262691.0,95.0,PG
Comedy,John Sayles,3000000.0,1867792.0,105.0,R
Drama,Amy Holden Jones,550000.0,5269990.0,88.0,R
Comedy,Allan Arkush,5500000.0,1645711.0,92.0,R
Action,Ferdinand Fairfax,12000000.0,1963756.0,99.0,PG
Comedy,William Olsen,220000.0,975414.0,96.0,R
Drama,John Sayles,300000.0,1530839.0,110.0,R
Comedy,Marshall Brickman,10100000.0,10171304.0,95.0,PG
Biography,Donald Shebib,8000000.0,3000000.0,106.0,PG
Comedy,Michael Tuchner,5000000.0,4304286.0,91.0,PG
Drama,Charles Burnett,50000.0,26177.0,115.0,Not Rated
Action,James Cameron,6400000.0,78371200.0,107.0,R
Action,David Lynch,40000000.0,30925690.0,137.0,PG-13
Action,Ivan Reitman,30000000.0,296187079.0,105.0,PG
Action,John G. Avildsen,8000000.0,91119319.0,126.0,PG
Crime,Sergio Leone,30000000.0,5473212.0,229.0,R
Comedy,Hugh Wilson,4500000.0,81198894.0,96.0,R
Action,Steven Spielberg,28000000.0,333107271.0,118.0,PG
Crime,Brian De Palma,10000000.0,8801940.0,114.0,R
Horror,Wes Craven,1800000.0,25507137.0,91.0,R
Biography,Milos Forman,18000000.0,52066791.0,160.0,PG
Action,Martin Brest,14000000.0,316360478.0,105.0,R
Action,John Milius,17000000.0,38376497.0,114.0,PG-13
Adventure,Wolfgang Petersen,27000000.0,20251411.0,102.0,PG
Drama,Herbert Ross,8200000.0,80039064.0,107.0,PG
Comedy,Jeff Kanew,8000000.0,40874452.0,90.0,R
Comedy,Joe Dante,11000000.0,153633143.0,106.0,PG
Action,Robert Zemeckis,10000000.0,86572238.0,106.0,PG
Action,Walter Hill,14500000.0,8089290.0,93.0,PG
Comedy,John Hughes,6500000.0,23686027.0,93.0,PG
Comedy,Rob Reiner,2500000.0,4736202.0,82.0,R
Comedy,Jim Abrahams,9000000.0,20458340.0,90.0,PG
Action,Richard Fleischer,18000000.0,31042035.0,103.0,PG
Horror,Fritz Kiersch,800000.0,14568989.0,92.0,R
Action,Nick Castle,15000000.0,28733290.0,101.0,PG
Comedy,Ron Howard,8000000.0,69821334.0,111.0,PG
Crime,Joel Coen,1500000.0,4228292.0,99.0,R
Drama,Barry Levinson,28000000.0,47951979.0,138.0,PG
Comedy,Neal Israel,5000000.0,38435947.0,105.0,R
Horror,Joseph Zito,2600000.0,32980880.0,91.0,R
Action,Taylor Hackford,13000000.0,21689062.0,128.0,R
Action,Jeannot Szwarc,35000000.0,14296438.0,124.0,PG
Adventure,Roger Donaldson,25000000.0,8613462.0,132.0,PG
Action,Mark L. Lester,15000000.0,17080167.0,114.0,R
Horror,Douglas Cheek,1250000.0,4654423.0,88.0,R
Comedy,Gene Wilder,9000000.0,25348610.0,87.0,PG-13
Action,Leonard Nimoy,17000000.0,76471046.0,105.0,PG
Action,Alex Cox,1500000.0,129000.0,92.0,R
Adventure,Peter Hyams,28000000.0,40400657.0,116.0,PG
Biography,Roland Joffé,14400000.0,34700291.0,141.0,R
Crime,Francis Ford Coppola,58000000.0,25928721.0,127.0,R
Romance,John Carpenter,22000000.0,28744356.0,115.0,PG
Comedy,Thom Eberhardt,700000.0,14418922.0,95.0,PG-13
Adventure,Stewart Raffill,21000000.0,8103330.0,102.0,PG
Comedy,John Derek,7000000.0,8914881.0,105.0,R
Action,Hal Needham,20000000.0,28078073.0,108.0,PG
Comedy,Jim Jarmusch,90000.0,2436000.0,89.0,R
Action,Stewart Raffill,9000000.0,14255801.0,91.0,PG
Adventure,David Lean,16000000.0,27201487.0,164.0,PG
Drama,Albert Magnoli,7200000.0,70263155.0,111.0,R
Comedy,Tony Richardson,7500000.0,5142858.0,109.0,R
Adventure,John Guillermin,25000000.0,5778353.0,117.0,PG
Action,Joseph Zito,2550000.0,22812411.0,101.0,R
Adventure,Hugh Hudson,30000000.0,45858563.0,143.0,PG
Drama,Ulu Grosbard,12000000.0,11129057.0,106.0,PG-13
Drama,Alan Parker,12000000.0,1455045.0,120.0,R
Drama,Neil Jordan,2000000.0,4389334.0,95.0,R
Comedy,Richard Benjamin,6500000.0,6045647.0,108.0,PG
Horror,Charles E. Sellier Jr.,1065000.0,2491460.0,79.0,R
Action,Stuart Rosenberg,8000000.0,6836201.0,121.0,R
Comedy,Bob Clark,28000000.0,21435321.0,111.0,PG
Drama,Jonathan Demme,15000000.0,6650206.0,100.0,PG
Drama,Stan Lathan,9500000.0,16595791.0,105.0,PG
Drama,John Byrum,13000000.0,6551987.0,128.0,PG-13
Comedy,Paul Mazursky,13000000.0,25068724.0,115.0,R
Action,J. Lee Thompson,4600000.0,13102025.0,90.0,R
Drama,Michael Apted,8000000.0,6250994.0,103.0,R
Comedy,Arthur Hiller,9000000.0,27774237.0,107.0,R
Drama,Mark Rydell,18000000.0,11489982.0,124.0,PG-13
Crime,Norman Jewison,6000000.0,21821347.0,101.0,PG
Comedy,Charles Shyer,6000000.0,12414210.0,113.0,PG
Action,Richard Benjamin,25000000.0,38348988.0,93.0,PG
Action,William Tannen,10000000.0,3854833.0,93.0,R
